Küpsetatud karrine kanakintsuliha;100.0;156.0;21.1;7.6;0.78
Koorekaste tilliga;100.0;109.0;1.44;9.11;5.63
Aurutatud lillkapsas;65.0;17.0;1.25;0.16;3.59
Keedetud läätsed (mahe);65.0;103.0;7.04;0.49;15.31
Keedetud täistera pasta (mahe)/keedetud pasta (mahe);65.0;109.0;3.04;2.5;17.74
Hiinakapsas, peet (mahe), paprika, redis;150.0;40.0;1.99;0.3;8.18
Kastmevalik salatitele;20.0;113.0;0.2;12.13;0.94
Seemnesegu;20.0;110.0;4.56;8.74;4.97
Vesi;180.0;0.0;0.0;0.0;0.0
Maitsevesi;180.0;3.0;0.13;0.17;0.86
Hibiskuse tee;180.0;22.0;0.0;0.0;5.39
Piimatooted (keefir 2.5%, mahe piim 4-4.4%);180.0;101.0;6.56;4.78;8.15
Leivatoodete valik sh rukkileib (5 sorti);100.0;287.0;8.21;3.36;53.24
Õun;70.0;28.0;0.14;0.25;6.93
Värske kurk;100.0;10.0;0.6;0.1;2.1
