Sealihapilaff (mahe riis ja porgand);350.0;520.0;20.86;19.28;65.99
Aurutatud rohelised oad;65.0;21.0;1.33;0.08;4.99
Jääsalat, porgand (mahe), redis, kaalikas;150.0;36.0;1.54;0.38;8.06
Kastmevalik salatitele;20.0;113.0;0.2;12.13;0.94
Seemnesegu;20.0;110.0;4.56;8.74;4.97
Rabarberi-rukkivaht;100.0;121.0;1.59;0.36;28.81
Piimatooted (keefir 2.5%, mahe piim 4-4.4%);180.0;101.0;6.56;4.78;8.15
Vesi;180.0;0.0;0.0;0.0;0.0
Maitsevesi;180.0;3.0;0.13;0.17;0.86
Kummeli tee;180.0;22.0;0.0;0.0;5.39
Leivatoodete valik sh rukkileib (5 sorti);100.0;287.0;8.21;3.36;53.24
Pirn;70.0;30.0;0.28;0.28;7.42
Kõrvits;100.0;20.0;0.8;0.1;4.8
